age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,pdays_contacted_before,pdays_clean,score
41,admin.,divorced,high.school,no,yes,no,cellular,aug,fri,2,6,3,success,-1.7,94.027,-38.3,0.905,4991.6,yes,1,6,0.9925
34,admin.,single,university.degree,no,yes,no,cellular,mar,tue,1,6,3,success,-1.8,93.369,-34.8,0.652,5008.7,yes,1,6,0.9925
38,admin.,married,university.degree,no,yes,no,cellular,nov,tue,1,3,3,success,-3.4,92.649,-30.1,0.715,5017.5,yes,1,3,0.99
65,retired,married,professional.course,no,yes,no,cellular,aug,tue,1,6,3,success,-1.7,94.027,-38.3,0.904,4991.6,yes,1,6,0.99
40,admin.,single,basic.9y,no,yes,no,cellular,may,thu,1,3,3,success,-1.8,93.876,-40.0,0.683,5008.7,yes,1,3,0.9875
33,admin.,married,university.degree,no,yes,no,cellular,nov,tue,2,3,3,success,-3.4,92.649,-30.1,0.715,5017.5,yes,1,3,0.985
42,technician,married,university.degree,no,no,no,cellular,aug,fri,3,6,2,success,-1.7,94.027,-38.3,0.898,4991.6,yes,1,6,0.985
75,retired,married,basic.4y,no,no,no,cellular,aug,wed,2,6,3,success,-1.7,94.027,-38.3,0.903,4991.6,yes,1,6,0.985
41,admin.,married,university.degree,no,yes,no,cellular,nov,tue,1,3,1,success,-3.4,92.649,-30.1,0.715,5017.5,yes,1,3,0.985
41,admin.,divorced,high.school,no,yes,no,cellular,aug,fri,1,6,2,success,-1.7,94.027,-38.3,0.905,4991.6,yes,1,6,0.985
52,technician,married,university.degree,no,no,no,cellular,may,thu,1,3,4,success,-1.8,93.876,-40.0,0.677,5008.7,yes,1,3,0.9825
38,admin.,married,high.school,no,no,no,cellular,jul,thu,2,10,2,success,-1.7,94.215,-40.3,0.782,4991.6,yes,1,10,0.9825
33,admin.,married,university.degree,no,yes,no,cellular,nov,tue,2,3,1,success,-3.4,92.649,-30.1,0.715,5017.5,yes,1,3,0.9825
41,admin.,married,unknown,no,no,no,cellular,sep,wed,1,7,3,success,-1.1,94.199,-37.5,0.886,4963.6,yes,1,7,0.9825
45,management,married,university.degree,no,no,no,cellular,sep,wed,2,3,2,success,-1.1,94.199,-37.5,0.886,4963.6,yes,1,3,0.9825
42,management,married,university.degree,no,yes,no,cellular,sep,wed,1,3,2,success,-1.1,94.199,-37.5,0.886,4963.6,yes,1,3,0.9825
30,admin.,single,university.degree,no,yes,no,cellular,aug,wed,1,0,2,success,-1.7,94.027,-38.3,0.9,4991.6,yes,1,0,0.9825
48,unemployed,married,professional.course,no,yes,no,cellular,may,wed,1,6,2,success,-1.8,93.876,-40.0,0.682,5008.7,yes,1,6,0.9825
55,admin.,divorced,high.school,no,yes,no,cellular,aug,tue,2,6,3,success,-1.7,94.027,-38.3,0.904,4991.6,yes,1,6,0.9819818280739935
64,retired,married,university.degree,no,no,no,cellular,mar,tue,2,5,1,success,-1.8,93.369,-34.8,0.652,5008.7,yes,1,5,0.98
35,admin.,married,university.degree,no,yes,no,cellular,aug,wed,2,6,3,success,-1.7,94.027,-38.3,0.903,4991.6,yes,1,6,0.98
36,management,divorced,university.degree,no,yes,no,cellular,sep,tue,1,6,1,success,-1.1,94.199,-37.5,0.881,4963.6,yes,1,6,0.98
34,admin.,single,university.degree,no,no,no,cellular,mar,tue,1,6,1,success,-1.8,93.369,-34.8,0.652,5008.7,yes,1,6,0.98
58,admin.,married,high.school,no,no,no,cellular,sep,thu,1,6,1,success,-1.1,94.199,-37.5,0.878,4963.6,yes,1,6,0.9794972921034241
34,admin.,single,high.school,no,no,no,cellular,mar,tue,1,6,2,success,-1.8,93.369,-34.8,0.652,5008.7,yes,1,6,0.9775
37,admin.,married,university.degree,no,no,no,cellular,sep,wed,2,6,2,success,-1.1,94.199,-37.5,0.886,4963.6,yes,1,6,0.9775
41,unemployed,married,basic.9y,no,yes,no,cellular,may,thu,1,6,4,success,-1.8,93.876,-40.0,0.683,5008.7,yes,1,6,0.9775
66,retired,married,basic.4y,no,yes,no,cellular,mar,tue,1,6,1,success,-1.8,93.369,-34.8,0.655,5008.7,yes,1,6,0.9775
48,admin.,single,university.degree,no,yes,no,cellular,aug,wed,1,0,2,success,-1.7,94.027,-38.3,0.9,4991.6,yes,1,0,0.9775
38,blue-collar,single,high.school,no,yes,no,cellular,sep,wed,1,6,3,success,-1.1,94.199,-37.5,0.879,4963.6,yes,1,6,0.9775
40,admin.,single,basic.9y,no,yes,no,cellular,may,thu,1,2,3,success,-1.8,93.876,-40.0,0.683,5008.7,yes,1,2,0.9775
53,management,divorced,university.degree,no,no,no,cellular,sep,tue,2,3,2,success,-1.1,94.199,-37.5,0.877,4963.6,yes,1,3,0.9772245556958338
67,housemaid,divorced,professional.course,no,no,no,cellular,aug,thu,1,6,2,success,-1.7,94.027,-38.3,0.899,4991.6,yes,1,6,0.977221642225891
64,retired,married,university.degree,no,no,no,cellular,mar,tue,2,6,1,success,-1.8,93.369,-34.8,0.652,5008.7,yes,1,6,0.975
27,technician,single,university.degree,no,yes,no,cellular,sep,thu,1,6,1,success,-1.1,94.199,-37.5,0.879,4963.6,yes,1,6,0.975
65,retired,married,basic.4y,no,yes,yes,cellular,oct,wed,1,3,3,success,-1.1,94.601,-49.5,0.985,4963.6,yes,1,3,0.975
29,admin.,single,high.school,no,yes,no,cellular,jul,fri,2,6,1,success,-1.7,94.215,-40.3,0.861,4991.6,yes,1,6,0.975
36,admin.,married,university.degree,no,yes,no,cellular,oct,wed,1,6,1,success,-3.4,92.431,-26.9,0.735,5017.5,yes,1,6,0.975
58,management,married,university.degree,no,no,no,cellular,may,thu,1,3,4,success,-1.8,93.876,-40.0,0.683,5008.7,yes,1,3,0.975
60,retired,married,university.degree,no,no,no,cellular,sep,thu,2,6,1,success,-1.1,94.199,-37.5,0.884,4963.6,yes,1,6,0.975
81,retired,divorced,basic.4y,no,no,no,cellular,sep,wed,2,7,1,success,-1.1,94.199,-37.5,0.886,4963.6,yes,1,7,0.975
33,admin.,single,university.degree,no,no,no,cellular,jun,wed,1,3,1,success,-1.7,94.055,-39.8,0.715,4991.6,yes,1,3,0.9725
37,services,married,high.school,no,no,no,cellular,jul,thu,1,6,2,success,-1.7,94.215,-40.3,0.846,4991.6,yes,1,6,0.9725
70,retired,married,basic.4y,no,yes,no,cellular,aug,tue,3,6,1,success,-1.7,94.027,-38.3,0.904,4991.6,yes,1,6,0.9725
24,services,single,high.school,no,yes,no,cellular,jul,thu,1,11,2,success,-1.7,94.215,-40.3,0.884,4991.6,yes,1,11,0.9725
42,technician,married,professional.course,no,no,no,cellular,aug,thu,1,6,2,success,-1.7,94.027,-38.3,0.899,4991.6,yes,1,6,0.9725
42,technician,married,professional.course,no,yes,yes,cellular,oct,mon,1,6,1,success,-1.1,94.601,-49.5,1.0,4963.6,yes,1,6,0.9725
48,housemaid,married,professional.course,no,no,no,cellular,jul,wed,3,6,1,success,-1.7,94.215,-40.3,0.896,4991.6,yes,1,6,0.9725
60,admin.,married,unknown,no,yes,no,cellular,may,wed,1,6,2,success,-1.8,93.876,-40.0,0.682,5008.7,yes,1,6,0.9725
60,retired,married,high.school,no,no,no,cellular,sep,wed,1,6,1,success,-1.1,94.199,-37.5,0.876,4963.6,yes,1,6,0.97
45,admin.,married,university.degree,no,no,no,cellular,aug,thu,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,yes,0,-1,0.97
59,retired,married,professional.course,no,no,no,cellular,aug,fri,3,3,1,success,-1.7,94.027,-38.3,0.905,4991.6,yes,1,3,0.97
27,student,single,university.degree,no,no,no,cellular,aug,wed,1,3,3,success,-1.7,94.027,-38.3,0.9,4991.6,yes,1,3,0.97
31,admin.,single,university.degree,no,yes,no,telephone,oct,tue,1,999,0,nonexistent,-0.1,93.798,-40.4,4.86,5195.8,yes,0,-1,0.97
66,admin.,divorced,university.degree,no,yes,no,cellular,aug,wed,3,6,2,success,-1.7,94.027,-38.3,0.903,4991.6,yes,1,6,0.97
27,technician,single,university.degree,no,yes,no,cellular,sep,thu,1,3,1,success,-1.1,94.199,-37.5,0.879,4963.6,yes,1,3,0.97
36,management,divorced,university.degree,no,no,no,cellular,sep,tue,3,6,1,success,-1.1,94.199,-37.5,0.881,4963.6,yes,1,6,0.97
44,management,married,university.degree,no,no,no,cellular,sep,wed,1,3,3,success,-1.1,94.199,-37.5,0.88,4963.6,yes,1,3,0.97
28,services,single,high.school,no,yes,no,cellular,jul,thu,1,6,1,success,-1.7,94.215,-40.3,0.846,4991.6,yes,1,6,0.97
45,technician,married,professional.course,no,no,no,cellular,oct,thu,1,6,1,success,-3.4,92.431,-26.9,0.733,5017.5,yes,1,6,0.97
48,housemaid,married,professional.course,no,yes,no,cellular,jul,wed,2,6,2,success,-1.7,94.215,-40.3,0.896,4991.6,yes,1,6,0.9697209745556958
28,student,single,basic.9y,no,yes,no,cellular,mar,tue,1,999,0,nonexistent,-1.8,92.843,-50.0,1.799,5099.1,yes,0,-1,0.9685644209099873
28,student,single,basic.9y,no,yes,no,cellular,mar,tue,1,999,0,nonexistent,-1.8,92.843,-50.0,1.799,5099.1,yes,0,-1,0.9685644209099873
40,management,married,university.degree,no,yes,no,cellular,jul,fri,1,9,1,success,-1.7,94.215,-40.3,0.896,4991.6,yes,1,9,0.9675
30,admin.,single,university.degree,no,yes,no,cellular,jun,wed,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes,0,-1,0.9675
52,admin.,divorced,university.degree,no,yes,no,cellular,nov,tue,1,3,2,success,-3.4,92.649,-30.1,0.715,5017.5,yes,1,3,0.9675
37,housemaid,married,university.degree,no,no,no,cellular,oct,thu,1,6,2,success,-1.1,94.601,-49.5,1.025,4963.6,yes,1,6,0.9675
47,admin.,married,university.degree,no,no,no,cellular,aug,wed,1,4,2,success,-1.7,94.027,-38.3,0.9,4991.6,yes,1,4,0.9675
40,technician,married,professional.course,no,yes,no,cellular,may,wed,1,3,4,success,-1.8,93.876,-40.0,0.682,5008.7,yes,1,3,0.9675
38,admin.,married,university.degree,no,yes,no,cellular,oct,wed,1,6,1,success,-3.4,92.431,-26.9,0.735,5017.5,yes,1,6,0.9675
32,technician,married,basic.9y,no,yes,no,cellular,sep,wed,1,6,1,success,-1.1,94.199,-37.5,0.879,4963.6,yes,1,6,0.9675
30,admin.,single,university.degree,no,yes,no,cellular,jun,wed,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes,0,-1,0.9675
43,admin.,married,university.degree,no,yes,no,cellular,jun,wed,2,3,1,success,-2.9,92.963,-40.8,1.26,5076.2,yes,1,3,0.965
30,technician,unknown,university.degree,no,no,no,cellular,mar,mon,2,6,2,success,-1.8,93.369,-34.8,0.639,5008.7,yes,1,6,0.965
66,blue-collar,married,unknown,no,yes,no,cellular,may,wed,2,6,2,success,-1.8,93.876,-40.0,0.682,5008.7,yes,1,6,0.965
37,technician,married,university.degree,no,yes,no,cellular,may,thu,1,2,4,success,-1.8,93.876,-40.0,0.677,5008.7,yes,1,2,0.965
66,retired,married,unknown,no,yes,no,cellular,sep,tue,2,6,1,success,-1.1,94.199,-37.5,0.881,4963.6,yes,1,6,0.965
48,technician,married,professional.course,no,yes,yes,cellular,oct,mon,1,8,1,success,-1.1,94.601,-49.5,0.977,4963.6,yes,1,8,0.965
52,admin.,married,unknown,no,yes,no,telephone,apr,wed,1,6,1,success,-1.8,93.749,-34.6,0.654,5008.7,yes,1,6,0.965
34,admin.,single,university.degree,no,no,yes,cellular,mar,tue,1,11,1,success,-1.8,93.369,-34.8,0.652,5008.7,yes,1,11,0.965
34,admin.,single,university.degree,no,yes,yes,cellular,mar,tue,1,3,2,success,-1.8,93.369,-34.8,0.652,5008.7,yes,1,3,0.965
34,admin.,single,university.degree,no,no,no,cellular,nov,thu,1,7,2,success,-3.4,92.649,-30.1,0.714,5017.5,yes,1,7,0.965
52,admin.,married,unknown,no,yes,no,cellular,apr,wed,2,10,1,success,-1.8,93.749,-34.6,0.654,5008.7,yes,1,10,0.9625
35,technician,single,professional.course,no,yes,no,cellular,jul,tue,1,11,2,success,-1.7,94.215,-40.3,0.835,4991.6,yes,1,11,0.9625
36,management,married,university.degree,no,no,no,cellular,jun,tue,1,6,2,success,-1.7,94.055,-39.8,0.737,4991.6,yes,1,6,0.9625
38,admin.,married,university.degree,no,no,no,cellular,nov,tue,2,7,1,success,-3.4,92.649,-30.1,0.715,5017.5,yes,1,7,0.9625
31,admin.,single,high.school,no,no,no,cellular,sep,fri,2,3,2,success,-1.1,94.199,-37.5,0.883,4963.6,yes,1,3,0.9625
70,retired,divorced,basic.4y,no,no,no,cellular,jul,thu,2,6,2,success,-1.7,94.215,-40.3,0.846,4991.6,yes,1,6,0.9625
39,services,married,high.school,no,yes,no,cellular,may,thu,2,6,3,success,-1.8,93.876,-40.0,0.683,5008.7,yes,1,6,0.9625
48,admin.,married,university.degree,no,yes,no,cellular,jun,wed,2,4,1,success,-2.9,92.963,-40.8,1.26,5076.2,yes,1,4,0.9625
46,admin.,married,university.degree,no,no,no,cellular,may,thu,1,999,0,nonexistent,-1.8,93.876,-40.0,0.692,5008.7,yes,0,-1,0.9625
26,admin.,single,high.school,no,no,no,cellular,mar,tue,2,6,1,success,-1.8,93.369,-34.8,0.652,5008.7,yes,1,6,0.9625
88,retired,divorced,basic.4y,no,no,no,cellular,mar,wed,2,999,0,nonexistent,-1.8,92.843,-50.0,1.663,5099.1,yes,0,-1,0.9622191536369817
88,retired,divorced,basic.4y,no,no,no,cellular,mar,wed,2,999,0,nonexistent,-1.8,92.843,-50.0,1.663,5099.1,yes,0,-1,0.9622191536369817
33,admin.,married,university.degree,no,yes,no,cellular,aug,thu,1,3,3,success,-1.7,94.027,-38.3,0.899,4991.6,yes,1,3,0.96
37,admin.,single,university.degree,no,no,no,cellular,sep,thu,1,3,4,success,-1.1,94.199,-37.5,0.879,4963.6,yes,1,3,0.96
48,technician,married,professional.course,no,no,no,cellular,oct,thu,1,6,3,success,-1.1,94.601,-49.5,0.987,4963.6,yes,1,6,0.96
38,technician,single,professional.course,no,yes,no,cellular,sep,thu,2,6,1,success,-1.1,94.199,-37.5,0.879,4963.6,yes,1,6,0.96
48,unemployed,married,professional.course,no,no,no,cellular,may,wed,1,6,3,success,-1.8,93.876,-40.0,0.682,5008.7,yes,1,6,0.96
29,admin.,single,university.degree,no,no,no,cellular,nov,fri,1,3,2,success,-3.4,92.649,-30.1,0.714,5017.5,yes,1,3,0.96
35,admin.,married,university.degree,no,no,no,cellular,oct,wed,1,3,2,success,-1.1,94.601,-49.5,0.985,4963.6,yes,1,3,0.96
56,technician,divorced,university.degree,no,no,no,cellular,nov,fri,2,3,1,success,-3.4,92.649,-30.1,0.716,5017.5,yes,1,3,0.96
66,retired,married,high.school,no,yes,no,cellular,jul,tue,1,999,0,nonexistent,-1.7,94.215,-40.3,0.835,4991.6,yes,0,-1,0.96
37,housemaid,married,university.degree,no,no,no,cellular,oct,thu,2,11,4,success,-1.1,94.601,-49.5,1.025,4963.6,yes,1,11,0.96
32,admin.,married,university.degree,no,yes,no,cellular,oct,wed,2,6,1,success,-3.4,92.431,-26.9,0.735,5017.5,yes,1,6,0.96
42,admin.,single,high.school,no,no,no,cellular,sep,wed,1,14,1,success,-1.1,94.199,-37.5,0.88,4963.6,yes,1,14,0.96
44,admin.,married,university.degree,no,yes,no,cellular,oct,wed,3,6,1,success,-3.4,92.431,-26.9,0.735,5017.5,yes,1,6,0.96
29,admin.,single,university.degree,no,yes,no,cellular,jun,wed,1,6,3,success,-1.7,94.055,-39.8,0.715,4991.6,yes,1,6,0.96
55,unemployed,divorced,university.degree,no,no,no,cellular,mar,tue,3,6,3,success,-1.8,93.369,-34.8,0.652,5008.7,yes,1,6,0.96
36,unemployed,married,high.school,no,yes,no,cellular,oct,mon,1,3,1,success,-1.1,94.601,-49.5,1.032,4963.6,yes,1,3,0.96
41,technician,divorced,university.degree,no,yes,no,cellular,aug,fri,2,6,3,success,-1.7,94.027,-38.3,0.905,4991.6,yes,1,6,0.96
53,housemaid,married,university.degree,no,yes,no,cellular,apr,thu,1,6,1,success,-1.8,93.749,-34.6,0.644,5008.7,yes,1,6,0.96
69,retired,married,high.school,no,yes,yes,cellular,sep,wed,1,6,2,success,-1.1,94.199,-37.5,0.886,4963.6,yes,1,6,0.9597139943672914
59,admin.,married,university.degree,no,no,yes,cellular,sep,wed,1,3,1,success,-1.1,94.199,-37.5,0.886,4963.6,yes,1,3,0.9575
34,admin.,married,university.degree,no,no,no,cellular,jun,wed,1,3,2,success,-1.7,94.055,-39.8,0.715,4991.6,yes,1,3,0.9575
38,admin.,single,high.school,no,yes,no,cellular,apr,thu,1,6,1,success,-1.8,93.749,-34.6,0.659,5008.7,yes,1,6,0.9575
56,technician,married,basic.4y,no,no,no,cellular,oct,thu,1,6,1,success,-3.4,92.431,-26.9,0.733,5017.5,yes,1,6,0.9575
59,unemployed,married,basic.4y,no,yes,no,cellular,jun,mon,1,6,2,success,-1.7,94.055,-39.8,0.72,4991.6,yes,1,6,0.9575
50,entrepreneur,divorced,university.degree,no,yes,no,cellular,jul,thu,1,6,3,success,-1.7,94.215,-40.3,0.899,4991.6,yes,1,6,0.9575
27,student,single,university.degree,no,yes,no,cellular,aug,wed,1,0,3,success,-1.7,94.027,-38.3,0.9,4991.6,yes,1,0,0.9575
41,unemployed,married,high.school,no,yes,yes,cellular,sep,wed,1,6,1,success,-1.1,94.199,-37.5,0.879,4963.6,yes,1,6,0.9572139943672915
68,retired,married,basic.4y,no,yes,yes,cellular,may,fri,1,6,1,success,-1.8,93.876,-40.0,0.684,5008.7,yes,1,6,0.9568114247205264
61,retired,married,university.degree,no,no,no,cellular,sep,mon,1,3,2,success,-3.4,92.379,-29.8,0.797,5017.5,yes,1,3,0.955
