Feature,VIF
categorical__cp_0,inf
categorical__cp_1,inf
categorical__cp_2,inf
categorical__cp_3,inf
categorical__restecg_0,inf
categorical__restecg_1,inf
categorical__restecg_2,inf
categorical__slope_0,inf
categorical__slope_1,inf
categorical__slope_2,inf
categorical__thal_0,inf
categorical__thal_1,inf
categorical__thal_2,inf
categorical__thal_3,inf
categorical__ca_0,inf
categorical__ca_1,inf
categorical__ca_2,inf
categorical__ca_3,inf
categorical__ca_4,inf
numeric__oldpeak,1.956177291370902
numeric__thalach,1.6584646025753191
numeric__age,1.4914942902506525
numeric__trestbps,1.1670582033124641
numeric__chol,1.14260938951484
