,rmse,r2,n_features,alpha,l1_ratio,target
Dummy,10.23758974168782,-0.0055245239100216725,,,,Y1
LinearRegression,2.87227709368207,0.9208501870029356,14.0,,,Y1
Ridge,2.875464786890949,0.9206744063807153,14.0,0.24770763559917114,,Y1
Lasso,2.8745619070730895,0.9207242141429065,14.0,0.001291549665014884,,Y1
ElasticNet,2.8755553409386376,0.9206694100637876,14.0,0.00045348785081285824,0.1,Y1
Dummy,9.666248182723116,-0.008408593861118474,,,,Y2
LinearRegression,3.1197549334643537,0.89495833056301,14.0,,,Y2
Ridge,3.1209963890168604,0.8948747146939865,14.0,0.20565123083486536,,Y2
Lasso,3.120345490650517,0.8949185588595484,14.0,0.0007220809018385464,,Y2
ElasticNet,3.120835491066443,0.8948855535446842,14.0,0.00031992671377973844,0.1,Y2
