leaf_id,gia_de_xuat,so_chuyen_lam_can_cu,km_min,km_max,ty_le_gio_cao_diem
4,32.4,518,0.01,0.14,35.0
6,7.5,21073,0.15,0.85,40.0
7,10.0,20959,0.86,1.3,40.0
10,10.7,1394,1.31,1.73,27.0
11,12.6,13412,1.31,1.73,41.0
13,14.3,7366,1.74,2.01,39.0
14,15.9,7783,2.02,2.41,39.0
18,17.7,4730,2.42,2.75,38.0
19,19.4,4060,2.76,3.14,36.0
21,21.2,3474,3.15,3.61,35.0
22,23.3,2773,3.62,4.17,35.0
25,25.3,1643,4.18,4.6,35.0
26,27.1,2195,4.61,5.37,35.0
28,30.4,2446,5.38,6.52,31.0
29,33.3,1056,6.53,7.12,34.0
34,35.5,1107,7.13,7.81,35.0
35,38.1,1534,7.82,8.7,35.0
37,40.6,1136,8.71,9.31,33.0
38,43.2,1634,9.32,10.23,31.0
41,46.2,1522,10.24,11.31,35.0
42,49.1,1062,11.32,12.5,33.0
44,52.8,553,12.51,13.51,32.0
45,56.7,536,13.52,14.7,36.0
51,70.0,4140,14.71,23.36,38.0
48,62.0,545,14.72,23.3,39.0
50,77.6,513,14.75,23.35,35.0
52,119.4,501,23.4,71.55,36.0
