StockCode,Description,Ma_cum,Ten_cum
10002,INFLATABLE POLITICAL GLOBE ,3,Hàng chủ lực - bán chạy đều
10080,GROOVY CACTUS INFLATABLE,1,Hàng giá rẻ - số lượng lớn
10120,DOGGY RUBBER,1,Hàng giá rẻ - số lượng lớn
10123C,HEARTS WRAPPING TAPE ,1,Hàng giá rẻ - số lượng lớn
10123G,ARMY CAMO WRAPPING TAPE,1,Hàng giá rẻ - số lượng lớn
10124A,SPOTS ON RED BOOKCOVER TAPE,4,Hàng bán chậm - ít khách
10124G,ARMY CAMO BOOKCOVER TAPE,4,Hàng bán chậm - ít khách
10125,MINI FUNKY DESIGN TAPES,1,Hàng giá rẻ - số lượng lớn
10133,COLOURING PENCILS BROWN TUBE,3,Hàng chủ lực - bán chạy đều
10134,COLOURING PENCILS BROWN TUBE,1,Hàng giá rẻ - số lượng lớn
10135,COLOURING PENCILS BROWN TUBE,3,Hàng chủ lực - bán chạy đều
10138,ASSORTED COLOUR JUMBO PEN,1,Hàng giá rẻ - số lượng lớn
11001,ASSTD DESIGN RACING CAR PEN,3,Hàng chủ lực - bán chạy đều
15030,FAN BLACK FRAME ,1,Hàng giá rẻ - số lượng lớn
15034,PAPER POCKET TRAVELING FAN ,1,Hàng giá rẻ - số lượng lớn
15036,ASSORTED COLOURS SILK FAN,3,Hàng chủ lực - bán chạy đều
15039,SANDALWOOD FAN,3,Hàng chủ lực - bán chạy đều
15044A,PINK PAPER PARASOL ,3,Hàng chủ lực - bán chạy đều
15044B,BLUE PAPER PARASOL ,3,Hàng chủ lực - bán chạy đều
15044C,PURPLE PAPER PARASOL,0,Hàng giá trị cao - ổn định
15044D,RED PAPER PARASOL,3,Hàng chủ lực - bán chạy đều
15056BL,EDWARDIAN PARASOL BLACK,3,Hàng chủ lực - bán chạy đều
15056N,EDWARDIAN PARASOL NATURAL,3,Hàng chủ lực - bán chạy đều
15056P,EDWARDIAN PARASOL PINK,3,Hàng chủ lực - bán chạy đều
15058A,BLUE POLKADOT GARDEN PARASOL,0,Hàng giá trị cao - ổn định
15058B,PINK POLKADOT GARDEN PARASOL,0,Hàng giá trị cao - ổn định
15058C,ICE CREAM DESIGN GARDEN PARASOL,0,Hàng giá trị cao - ổn định
